"","api","chci","alternative","charter","lausd","lacounty","english","black","asian","latino","white","elep","highp","poverty"
"2410",817.5,101.7,0,1,1,1,39,0,0,100,0,100,0,100
"2411",785.5,114.4,0,1,1,1,26,11,1,88,0,17,0,94
"2412",859,171.7,0,1,1,1,1,2,4,34,51,0,100,43
"2413",752.5,119.4,0,1,1,1,62,5,0,94,1,100,0,93
"2414",739.5,113,0,1,1,1,19,6,1,88,0,0,100,98
"2415",737.5,160.1,0,1,1,1,0,99,0,1,0,57,0,44
"2416",747,127,0,1,1,1,10,4,1,78,15,0,48,77
"2417",752.5,105.4,0,1,1,1,22,1,1,95,0,0,100,96
"2418",921.5,119.6,0,1,1,1,13,2,1,97,0,28,0,90
"2419",695.5,144.5,0,1,1,1,0,97,0,1,1,0,100,68
"2420",513,107.4,1,0,1,1,24,20,0,73,3,0,94,86
"2421",806.5,148.4,0,1,1,1,1,89,0,10,0,22,0,79
"2422",NA,NA,0,0,1,1,NA,100,NA,NA,NA,0,0,NA
"2423",805,181.8,0,1,1,1,0,16,2,31,49,0,0,29
"2424",683.5,132.5,0,1,1,1,0,93,0,6,0,0,100,88
"2425",741,105,0,1,1,1,16,1,0,98,1,0,100,95
"2426",901.5,173,0,1,1,1,4,8,3,58,25,0,41,63
"2427",NA,113.7,1,0,1,1,15,18,2,69,11,0,98,23
"2428",827.5,197.8,0,1,1,1,2,5,3,22,53,70,0,19
"2429",889.5,129.4,0,1,1,1,17,-1,1,97,1,100,0,89
"2430",703.5,118.5,0,1,1,1,10,38,0,60,1,0,100,88
"2431",849,114.9,0,1,1,1,13,1,0,95,2,0,0,88
"2432",821.5,118.3,0,1,1,1,36,0,4,94,1,100,0,93
"2433",771,137.2,0,1,1,1,22,24,1,73,1,100,0,100
"2434",767,119.3,0,1,1,1,36,24,0,75,1,0,44,84
"2435",553.5,108.9,1,0,1,1,25,6,2,90,1,0,98,71
"2436",804,108.9,0,0,1,1,1,35,0,65,0,0,100,81
"2437",927.5,141.2,0,0,1,1,0,14,6,61,3,0,100,74
"2438",843,167.9,0,1,1,1,8,11,7,37,32,42,23,16
"2439",921,117.3,0,1,1,1,32,4,0,95,1,100,0,98
"2440",797,103.1,0,1,1,1,9,0,1,98,0,0,100,99
"2441",775,116.7,0,1,1,1,11,7,0,88,4,0,100,80
"2442",797,105.2,0,1,1,1,22,2,0,97,1,0,100,97
"2443",838,102.3,0,1,1,1,9,5,0,95,0,0,100,95
"2444",712.5,118,0,1,1,1,18,0,0,96,2,0,0,81
"2445",733,112.2,0,0,1,1,48,5,1,90,3,100,0,94
"2446",NA,NA,0,0,1,1,NA,100,NA,NA,NA,0,0,NA
"2447",NA,NA,0,0,1,1,NA,100,NA,NA,NA,0,0,NA
"2448",802,105.1,0,0,1,1,55,6,1,91,1,100,0,81
"2449",724,99.5,0,0,1,1,49,6,0,94,0,100,0,86
"2450",691.5,107.3,0,0,1,1,28,2,1,94,1,0,0,100
"2451",686.5,114.5,0,0,1,1,20,1,0,99,0,0,0,81
"2452",783,102.6,0,0,1,1,7,3,1,95,1,0,100,88
"2453",754,130.2,0,0,1,1,8,4,4,64,20,0,100,68
"2454",744.5,113.2,0,0,1,1,11,3,0,97,0,0,44,84
"2455",837,138.4,0,1,1,1,2,7,1,71,13,0,100,37
"2456",795.5,168.4,0,1,1,1,1,9,1,27,53,0,100,40
"2457",892,123.1,0,1,1,1,21,4,5,86,3,56,0,88
"2458",746,98.3,0,1,1,1,16,8,0,92,0,0,100,91
"2459",756,108.3,0,1,1,1,19,3,0,97,0,0,0,95
"2460",900.5,114.7,0,1,1,1,13,52,0,48,0,73,0,99
"2461",916,181.1,0,1,1,1,2,10,15,21,48,49,8,37
"2462",798.5,115.6,0,1,1,1,11,1,0,98,0,0,100,96
"2463",NA,NA,0,0,1,1,NA,100,NA,NA,NA,0,0,NA
"2464",NA,NA,0,0,1,1,NA,100,NA,NA,NA,0,0,NA
"2465",NA,NA,0,0,1,1,NA,100,NA,NA,NA,0,0,NA
"2466",858.5,94.9,0,0,1,1,51,0,0,100,0,100,0,100
"2467",NA,NA,0,0,1,1,NA,100,NA,NA,NA,0,0,NA
"2468",NA,NA,0,0,1,1,NA,100,NA,NA,NA,0,0,NA
"2469",799.5,116.2,0,0,1,1,78,3,13,82,1,100,0,100
"2470",794,118.4,0,0,1,1,30,2,7,87,4,100,0,100
"2471",NA,NA,0,0,1,1,NA,100,NA,NA,NA,0,0,NA
"2472",814,102.2,0,0,1,1,54,0,0,99,1,100,0,100
"2473",754,117,0,0,1,1,49,3,0,89,5,100,0,100
"2474",NA,NA,0,0,1,1,NA,100,NA,NA,NA,0,0,NA
"2475",838,120.9,0,0,1,1,37,1,4,84,2,100,0,100
"2476",811,111.1,0,0,1,1,35,1,0,99,0,92,4,84
"2477",779,98.8,0,0,1,1,51,4,0,96,0,100,0,100
"2478",790.5,104.8,0,0,1,1,33,7,0,93,0,100,0,100
"2479",729.5,122,0,0,1,1,35,25,1,72,2,100,0,100
"2480",868,118,0,0,1,1,30,1,0,98,1,100,0,100
"2481",731,110.2,0,0,1,1,51,3,2,93,0,100,0,100
"2482",685.5,108.9,0,0,1,1,51,2,0,96,1,100,0,86
"2483",813.5,113.8,0,0,1,1,33,4,1,90,5,100,0,96
"2484",793.5,114.7,0,0,1,1,46,2,1,84,12,100,0,100
"2485",819,118.3,0,0,1,1,28,1,0,99,0,100,0,81
"2486",773.5,110.9,0,0,1,1,33,1,0,99,0,100,0,100
"2487",752.5,110.9,0,0,1,1,23,1,3,96,0,76,0,100
"2488",624,98.6,0,0,1,1,30,6,0,94,0,0,100,100
"2489",683.5,109.9,0,0,1,1,21,2,0,98,0,0,100,100
"2490",686.5,109.5,0,0,1,1,18,1,0,98,1,0,100,85
"2491",607,99.1,1,0,1,1,23,2,0,96,0,0,100,85
"2492",790.5,119.4,0,1,1,1,9,1,1,97,0,0,100,85
"2493",828,118.1,0,1,1,1,39,0,0,99,0,84,0,94
"2494",839.5,119.7,0,1,1,1,8,1,0,96,1,0,100,81
"2495",788,133.6,0,1,1,1,20,3,2,89,3,0,0,92
"2496",867,165.1,0,1,1,1,6,4,4,30,57,56,0,36
"2497",671.5,113.5,0,1,1,1,32,1,0,97,1,0,39,92
"2498",630,100,1,0,1,1,35,1,0,99,0,0,100,100
"2499",774.5,131.4,0,1,1,1,26,32,0,68,0,64,0,96
"2500",553,96.2,1,1,1,1,40,6,1,85,6,0,100,100
"2501",781.5,98.5,0,1,1,1,17,13,0,86,0,0,100,85
"2502",889,103.1,0,1,1,1,15,2,0,98,0,0,100,98
"2503",752,103.8,0,1,1,1,19,19,0,81,0,0,0,94
"2504",701.5,101.2,0,1,1,1,23,1,0,99,0,0,100,98
"2505",764,100.3,0,1,1,1,26,2,0,97,1,0,100,94
"2506",608.5,106.4,0,1,1,1,23,28,0,72,0,0,100,85
"2507",625,107.8,0,1,1,1,22,26,0,74,0,0,100,88
"2508",772.5,104.6,0,1,1,1,13,14,0,86,0,0,100,92
"2509",780,108.6,0,1,1,1,10,1,1,97,1,0,100,88
"2510",774.5,102,0,0,1,1,32,1,0,96,1,100,0,86
"2511",833.5,115.2,0,0,1,1,46,1,9,86,1,100,0,100
"2512",879.5,148.9,0,0,1,1,34,4,39,48,2,100,0,72
"2513",791.5,113.3,0,0,1,1,30,0,0,98,1,100,0,100
"2514",837,147.8,0,0,1,1,38,4,35,57,2,100,0,76
"2515",656,95.4,0,0,1,1,30,6,0,94,0,0,0,89
"2516",664,98.7,0,0,1,1,28,2,1,97,0,0,100,90
"2517",623,111.6,0,0,1,1,21,4,1,91,4,0,100,100
"2518",703.5,109.5,0,0,1,1,14,2,1,95,1,0,100,100
"2519",681,105.3,0,0,1,1,25,3,1,91,1,0,100,68
"2520",911,185.9,0,1,1,1,3,4,5,17,70,49,0,19
"2521",810,114,0,1,1,1,13,1,0,99,0,0,0,91
"2522",833,113.2,0,1,1,1,10,2,0,97,0,0,0,93
"2523",737.5,112.7,0,1,1,1,11,0,1,99,0,0,0,87
"2524",634,135,0,1,1,1,2,83,0,15,0,0,0,88
"2525",839.5,179,0,1,1,1,6,4,1,30,62,95,0,32
"2526",790,126.1,0,1,1,1,13,89,0,10,0,100,0,78
"2527",675.5,135.5,0,1,1,1,4,88,0,9,1,0,0,85
"2528",817,121.7,0,1,1,1,16,14,1,83,0,0,100,91
"2529",622,142.4,0,1,1,1,1,98,0,2,0,0,100,73
"2530",640,133.9,0,1,1,1,2,92,0,6,0,0,100,67
"2531",711,94.7,0,0,1,1,17,2,0,98,0,0,100,63
"2532",653,99.2,0,0,1,1,22,1,2,93,1,0,100,89
"2533",690,96.4,0,0,1,1,35,3,0,97,0,0,0,88
"2534",639.5,99.1,0,0,1,1,30,8,0,92,0,0,100,100
"2535",758.5,103.2,0,1,1,1,26,1,0,99,0,0,0,92
"2536",846.5,108.8,0,1,1,1,31,5,0,95,0,100,0,100
"2537",766.5,134.9,0,1,1,1,5,50,1,44,2,0,30,72
"2538",832,122.8,0,1,1,1,32,7,1,90,2,100,0,86
"2539",906.5,181,0,1,1,1,5,5,3,25,61,25,0,49
"2540",823,103.7,0,1,1,1,36,11,0,88,1,101,0,90
"2541",757.5,135,0,1,1,1,15,5,4,71,13,0,31,67
"2542",740,101.8,0,1,1,1,24,1,0,97,1,0,100,93
"2543",662,134.8,0,1,1,1,3,93,0,6,0,0,0,83
"2544",788.5,114,0,1,1,1,35,2,1,91,2,0,0,88
"2545",879.5,92.7,0,1,1,1,46,6,0,94,0,56,0,100
"2546",956.5,147.8,0,1,1,1,8,4,2,74,3,76,0,76
"2547",689,103.3,0,1,1,1,18,2,0,95,2,0,100,93
"2548",714,107.2,0,1,1,1,21,13,0,87,0,0,0,89
"2549",427.5,92.8,0,0,1,1,40,8,0,88,4,0,100,73
"2550",767.5,117.1,0,0,1,1,52,18,0,79,0,100,0,93
"2551",858,143.9,0,0,1,1,7,11,3,61,19,100,0,74
"2552",740,108.2,0,0,1,1,17,4,1,91,3,0,0,100
"2553",652.5,104.5,0,0,1,1,29,3,3,87,1,0,100,100
"2554",620.5,108.5,0,0,1,1,34,4,3,83,5,0,100,74
"2555",613,100.4,0,0,1,1,24,4,0,94,1,0,100,77
"2556",715.5,104.7,0,1,1,1,18,19,0,79,1,0,100,87
"2557",865.5,126.3,0,1,1,1,8,1,3,87,3,0,100,83
"2558",751,141,0,1,1,1,11,30,3,54,6,0,0,69
"2559",764,137.3,0,1,1,1,8,16,2,60,18,0,55,76
"2560",801,121.9,0,1,1,1,17,3,5,81,6,0,29,85
"2561",836.5,149.5,0,1,1,1,3,15,3,50,20,0,0,48
"2562",905,161.7,0,1,1,1,15,3,5,61,23,100,0,73
"2563",654.5,107.6,0,0,1,1,28,2,1,93,0,0,100,81
"2564",595.5,102.2,0,0,1,1,39,4,5,89,0,0,100,100
"2565",718.5,104.7,0,0,1,1,26,3,6,90,0,0,100,100
"2566",606,99.7,0,0,1,1,59,3,4,87,1,0,100,100
"2567",687.5,110.6,0,0,1,1,28,1,12,81,1,0,100,100
"2568",799,104.7,0,0,1,1,33,0,0,100,0,0,0,93
"2569",794,107.5,0,1,1,1,20,4,0,96,0,0,0,95
"2570",965.5,134.8,0,1,1,1,44,3,0,97,0,100,0,90
"2571",658.5,143.8,0,1,1,1,1,68,0,27,1,0,100,85
"2572",927.5,195,0,1,1,1,2,6,11,20,55,80,0,27
"2573",825,114.4,0,1,1,1,34,6,0,93,1,100,0,93
"2574",794.5,138.9,0,1,1,1,1,93,0,7,0,100,0,93
"2575",735.5,136.1,0,1,1,1,6,84,0,15,0,100,0,85
"2576",840,121.4,0,1,1,1,28,1,0,98,1,81,0,92
"2577",906,178.2,0,1,1,1,6,8,2,22,51,100,0,20
"2578",686,126.6,0,1,1,1,7,1,0,92,2,0,100,89
"2579",678,103,0,1,1,1,35,16,0,83,1,0,100,88
"2580",552.5,99.7,0,1,1,1,23,31,0,69,0,0,100,90
"2581",586,101.5,0,0,1,1,31,3,1,93,1,0,100,99
"2582",718.5,110.6,0,0,1,1,41,3,8,85,1,42,28,100
"2583",688.5,117.2,0,0,1,1,44,1,14,80,1,34,40,100
"2584",694.5,98.2,0,0,1,1,26,3,2,92,0,0,0,100
"2585",629.5,101.9,0,0,1,1,25,2,1,97,0,0,100,99
"2586",735,121.6,0,0,1,1,10,10,6,68,11,0,100,74
"2587",701,114.5,0,0,1,1,24,1,9,85,1,0,0,100
"2588",652,108.8,0,0,1,1,11,5,0,94,1,0,100,100
"2589",774,125.4,0,1,1,1,8,1,1,89,6,0,0,84
"2590",881,NA,0,1,1,1,27,2,3,94,0,100,0,91
"2591",873.5,119.8,0,1,1,1,21,1,1,96,1,38,0,83
"2592",882,121.1,0,1,1,1,27,3,4,88,5,26,0,92
"2593",769,100.8,0,1,1,1,17,8,0,92,0,0,0,97
"2594",768,110.5,0,1,1,1,22,0,3,95,1,0,0,88
"2595",817,109,0,1,1,1,11,1,0,98,1,0,0,92
"2596",664,109,0,1,1,1,41,40,0,60,0,0,27,91
"2597",785,119.8,0,1,1,1,54,0,0,100,0,100,0,88
"2598",816.5,137.2,0,1,1,1,5,8,4,54,28,0,100,56
"2599",588.5,120.4,0,1,1,1,20,34,0,66,0,0,0,85
"2600",885.5,117.9,0,1,1,1,57,0,0,99,0,100,0,97
"2601",510,109.5,0,0,1,1,30,36,1,61,1,0,100,76
"2602",866.5,178.2,0,1,1,1,3,23,2,25,40,100,0,15
"2603",877.5,165.4,0,1,1,1,50,-1,0,3,97,100,0,80
"2604",651.5,115.9,0,0,1,1,27,5,13,75,0,0,58,100
"2605",735,112.8,0,0,1,1,58,5,13,76,1,100,0,100
"2606",680,108.2,0,1,1,1,17,32,0,66,1,0,0,95
"2607",678.5,105,0,1,1,1,21,13,0,86,1,0,100,94
"2608",661.5,111.4,0,1,1,1,18,2,2,92,1,0,100,84
"2609",991,155.6,0,1,1,1,8,84,0,12,0,100,0,87
"2610",978,141.2,0,1,1,1,59,2,0,98,0,100,0,84
"2611",788.5,119.5,0,1,1,1,25,28,0,72,0,21,0,50
"2612",741.5,104.1,0,0,1,1,40,11,0,87,0,100,0,100
"2613",729,104.6,0,0,1,1,44,7,0,93,0,100,0,100
"2614",755.5,101.4,0,0,1,1,46,1,0,99,0,100,0,100
"2615",724,99.8,0,0,1,1,46,3,0,97,0,100,0,100
"2616",719,100.5,0,0,1,1,31,23,0,77,0,85,0,100
"2617",741.5,101,0,0,1,1,41,9,0,91,0,82,0,100
"2618",751,116,0,0,1,1,44,0,0,97,2,80,0,85
"2619",675,103.1,0,0,1,1,44,12,0,88,0,81,0,100
"2620",681,107.5,0,0,1,1,54,2,1,96,1,100,0,100
"2621",740,111,0,0,1,1,41,3,1,92,3,100,0,100
"2622",778,113.9,0,0,1,1,38,0,0,98,1,100,0,100
"2623",689,115,0,0,1,1,55,4,1,91,4,100,0,100
"2624",771.5,125,0,0,1,1,36,9,6,72,9,100,0,100
"2625",662,109.4,0,0,1,1,55,4,3,88,2,100,0,100
"2626",732.5,112.8,0,0,1,1,30,44,0,55,1,10,0,96
"2627",664,105.3,0,0,1,1,20,0,0,100,0,0,100,86
"2628",605.5,99.1,0,0,1,1,33,0,0,100,0,0,100,100
"2629",596,102.4,0,0,1,1,26,1,0,98,0,0,100,100
"2630",703,103.4,0,0,1,1,16,1,0,99,0,0,100,100
"2631",598.5,101.3,0,0,1,1,23,1,0,99,0,0,100,99
"2632",767.5,109.3,0,0,1,1,6,0,0,98,2,0,100,100
"2633",630.5,103.8,0,0,1,1,18,2,0,98,0,0,100,100
"2634",585.5,102,0,0,1,1,27,1,0,99,0,0,100,100
"2635",586,102.8,0,0,1,1,24,0,1,98,0,0,100,100
"2636",648.5,100.6,0,0,1,1,21,0,0,99,1,0,100,100
"2637",639.5,102.4,0,0,1,1,22,1,0,99,0,0,100,100
"2638",684.5,111.3,0,0,1,1,20,1,0,98,1,0,0,100
"2639",640,109.8,0,0,1,1,22,1,0,98,1,0,0,100
"2640",621,104.8,0,0,1,1,24,31,0,69,0,0,0,100
"2641",723,100.3,0,1,1,1,29,1,0,99,0,0,0,97
"2642",805.5,143.5,0,1,1,1,8,40,4,44,8,0,0,63
"2643",920,185.3,0,1,1,1,31,9,17,31,40,100,0,43
"2644",771.5,106.6,0,1,1,1,58,1,0,99,0,71,0,97
"2645",NA,117,0,1,1,1,16,1,0,95,2,0,100,68
"2646",796,119.8,0,1,1,1,8,1,0,96,1,0,100,80
"2647",841,125.1,0,1,1,1,28,0,0,98,2,100,0,98
"2648",847.5,126.3,0,1,1,1,27,0,0,99,1,100,0,97
"2649",NA,NA,0,1,1,1,NA,100,NA,NA,NA,0,0,NA
"2650",899,120.6,0,1,1,1,29,0,3,90,2,73,0,95
"2651",739,112.5,0,1,1,1,11,1,0,99,0,0,100,91
"2652",732.5,117.3,0,1,1,1,10,4,1,86,1,0,0,91
"2653",738.5,113.8,0,1,1,1,16,0,0,98,2,0,0,94
"2654",886,189.2,0,1,1,1,6,1,2,28,65,100,0,22
"2655",674.5,99.6,0,1,1,1,20,9,0,87,4,0,100,87
"2656",759,156.6,0,1,1,1,10,6,0,56,29,0,0,55
"2657",860.5,105,0,1,1,1,40,1,0,98,0,53,0,94
"2658",707,102,0,1,1,1,20,0,3,96,1,0,100,89
"2659",759,105.3,0,1,1,1,24,3,1,93,1,0,100,94
"2660",677.5,120.2,0,1,1,1,48,0,0,98,1,100,0,97
"2661",880.5,112.5,0,1,1,1,40,3,2,90,2,85,0,94
"2662",878,126.9,0,1,1,1,35,1,1,98,0,100,0,96
"2663",674.5,114.8,0,1,1,1,19,31,0,66,1,0,0,86
"2664",611,117.2,0,1,1,1,19,48,0,50,0,0,0,76
"2665",773.5,111.2,0,1,1,1,55,0,0,98,1,100,0,87
"2666",866,146.3,0,0,1,1,14,7,48,41,0,0,0,76
"2667",705,136.2,0,0,1,1,7,6,5,63,18,0,100,64
"2668",625.5,103.7,0,0,1,1,17,4,0,90,3,0,100,75
"2669",717.5,106.7,0,0,1,1,13,3,0,95,1,0,100,85
"2670",669.5,110,0,0,1,1,23,4,0,93,2,0,100,70
"2671",597.5,105.9,0,0,1,1,19,5,0,93,2,0,100,73
"2672",654.5,108.3,0,0,1,1,19,1,3,93,0,0,100,71
"2673",737.5,109.8,0,0,1,1,13,-1,3,92,1,0,100,78
"2674",641.5,104.9,0,0,1,1,22,3,1,90,2,0,100,81
"2675",679.5,100.3,0,0,1,1,28,5,0,94,0,0,0,90
"2676",687.5,101.6,0,0,1,1,30,2,0,98,0,0,0,83
"2677",554,103,0,0,1,1,31,10,0,90,0,0,100,62
"2678",551.5,102.4,0,0,1,1,36,13,0,87,0,0,100,70
"2679",594,99.3,0,0,1,1,26,10,0,90,0,0,100,84
"2680",535,98.4,0,0,1,1,30,5,0,94,1,0,100,67
"2681",569,101.4,0,0,1,1,27,6,0,93,1,0,100,76
"2682",562.5,95.2,0,0,1,1,26,10,0,90,0,0,100,77
"2683",677,123.8,0,0,1,1,7,26,1,61,2,0,66,71
"2684",697,104.3,0,1,1,1,24,6,0,94,0,0,100,92
"2685",770,104.4,0,1,1,1,35,10,0,89,1,86,0,92
"2686",750,102.3,0,1,1,1,41,11,0,89,0,85,0,96
"2687",774.5,111.2,0,1,1,1,41,13,0,87,0,74,0,96
"2688",761,114.9,0,1,1,1,61,0,0,100,0,100,0,100
"2689",782.5,119.3,0,1,1,1,39,2,0,89,1,56,0,93
"2690",582.5,100.2,0,1,1,1,30,20,0,79,1,0,100,89
"2691",721,106.2,0,1,1,1,14,30,0,69,1,0,100,84
"2692",699.5,118.6,0,1,1,1,11,1,2,94,0,0,100,80
"2693",957.5,184.6,0,0,1,1,4,7,26,25,35,100,0,24
"2694",714,119.6,0,1,1,1,27,34,0,65,1,100,0,95
"2695",777,134.4,0,1,1,1,19,60,0,39,0,100,0,88
"2696",688,132.9,0,0,1,1,13,25,2,66,5,0,100,84
"2697",530,109.4,0,0,1,1,25,2,8,89,0,0,100,100
"2698",706,105.3,0,0,1,1,19,1,0,97,1,0,0,100
"2699",687,117.1,0,0,1,1,22,2,4,80,7,0,100,72
"2700",708,136.5,0,1,1,1,10,61,0,39,0,100,0,88
"2701",863,174.5,0,1,1,1,3,28,3,23,41,0,0,29
"2702",809,179.2,0,1,1,1,34,7,10,41,40,100,0,57
"2703",644,117.9,0,1,1,1,21,21,0,78,1,0,100,85
"2704",740,98.7,0,0,1,1,41,7,0,93,0,100,0,89
"2705",900,190.9,0,0,1,1,4,35,14,16,34,100,0,32
"2706",714,116.4,0,0,1,1,38,1,0,98,1,81,0,84
"2707",766,113,0,0,1,1,32,1,0,98,1,100,0,84
"2708",650,101.6,0,0,1,1,45,15,0,85,0,100,0,85
"2709",698,102.8,0,0,1,1,42,16,0,83,1,89,0,84
"2710",673,107.1,0,0,1,1,48,4,0,96,0,82,0,84
"2711",757,107.8,0,0,1,1,52,1,3,91,1,100,0,83
"2712",649,110.2,0,0,1,1,19,0,0,100,0,0,0,85
"2713",747,110.7,0,0,1,1,18,0,0,100,0,0,0,81
"2714",604,106.7,0,0,1,1,31,0,0,99,1,0,100,87
"2715",520,102,0,0,1,1,29,13,0,87,0,0,100,86
"2716",488,102.5,0,0,1,1,30,18,1,81,0,0,100,80
"2717",482,105.1,0,0,1,1,26,23,0,77,0,0,100,72
"2718",662,97.8,0,0,1,1,30,0,0,100,0,0,100,84
"2719",752,105.8,0,0,1,1,15,0,0,100,0,0,100,90
"2720",682,99.6,0,0,1,1,28,1,0,99,0,0,100,85
"2721",601,117.9,0,0,1,1,22,1,0,98,1,0,100,76
"2722",575,112.1,0,0,1,1,19,1,0,97,2,0,100,70
"2723",546,101.8,0,0,1,1,20,30,0,69,0,0,100,70
"2724",547,104.8,0,0,1,1,23,27,0,73,0,0,100,70
"2725",825,112.7,0,0,1,1,29,2,0,97,1,61,0,88
"2726",831,121.1,0,0,1,1,21,3,1,90,4,69,0,85
"2727",924,187.6,0,0,1,1,6,5,47,11,34,69,0,11
"2728",697,139.8,0,0,1,1,5,12,3,49,2,0,100,57
"2729",749,150.1,0,0,1,1,5,9,3,37,2,0,100,55
"2730",599,112.2,1,0,1,1,23,8,0,80,11,0,87,80
"2731",481.5,96.1,1,0,1,1,48,0,3,93,3,0,100,61
"2732",413.5,103.9,1,0,1,1,34,13,0,82,2,0,100,69
"2733",593,111.7,1,0,1,1,10,65,0,33,0,0,100,81
"2734",521,106.4,1,0,1,1,19,41,0,57,1,0,100,65
